Date   ,Open,High,Low,Close,Volume
20130902,2104.09,2108.68,2078.46,2098.45,149158524
20130903,2100.45,2123.85,2095.46,2123.11,138893175
20130904,2121.68,2133,2115.75,2127.62,142000386
20130905,2125.25,2127.86,2115.24,2122.43,126544104
20130906,2119.33,2143.24,2119.02,2139.99,143260660
20130909,2151.35,2218.53,2151.35,2212.52,219427086
20130910,2214.81,2238.55,2202.82,2237.98,237206649
20130911,2244.96,2258.07,2233,2241.27,244349455
20130912,2236.17,2270.27,2226.29,2255.61,209715110
20130913,2251.46,2259.42,2228.48,2236.22,171984229
20130916,2244.46,2248.47,2226.17,2231.4,154884020
20130917,2230.39,2230.93,2184.92,2185.56,154542555
20130918,2185.94,2195.9,2172.04,2191.85,115111887
20130923,2199.36,2223.07,2198.34,2221.04,133174858
20130924,2219.47,2219.54,2187.24,2207.53,160415055
20130925,2206.23,2217.97,2193.72,2198.51,160212762
20130926,2192.23,2192.23,2154.72,2155.81,140415346
20130927,2150.96,2165.78,2149.59,2160.03,105401788
20130930,2167.73,2176.3,2165.16,2174.67,92810081
20131008,2171.9,2200.02,2161.49,2198.2,126710203
20131009,2191.39,2212.35,2185.18,2211.77,130871737
20131010,2214.41,2214.59,2186.48,2190.93,149775896
20131011,2201.41,2228.87,2200.53,2228.15,156892176
20131014,2232.22,2242.98,2226.4,2237.77,165983386
20131015,2237.93,2240.25,2221.14,2233.41,153722825
20131016,2228.11,2228.11,2183.4,2193.07,154638637
20131017,2201.71,2211.03,2183.25,2188.54,126767944
20131018,2188.71,2203.29,2184.36,2193.78,103724631
20131021,2198.11,2230.28,2190.39,2229.24,136694408
20131022,2227.34,2227.34,2204.24,2210.65,149132831
20131023,2213.27,2226.85,2177.73,2183.11,146347090
20131024,2178.82,2183.41,2159.87,2164.32,103008953
20131025,2163.69,2170.61,2122.68,2132.96,113924520
20131028,2135.88,2140.96,2123.07,2133.87,88401322
20131029,2135.23,2163.66,2093.2,2128.86,143092811
20131030,2126.69,2161.94,2121.84,2160.46,119643362
20131031,2155.51,2155.51,2137.47,2141.61,108063020
20131101,2139.88,2157.31,2132.63,2149.56,89118477
20131104,2156.09,2160.58,2143.21,2149.63,76147941
20131105,2139.84,2158.15,2124.85,2157.24,91900031
20131106,2149.39,2166.17,2138.78,2139.61,100487344
20131107,2136.63,2141.6,2119.19,2129.4,81842610
20131108,2120.92,2128.58,2103.51,2106.13,83096859
20131111,2103.3,2117.28,2093.63,2109.47,69678299
20131112,2110.72,2127.94,2108.4,2126.77,79446731
20131113,2117.89,2117.91,2086.01,2087.94,88257094
20131114,2087.12,2102.38,2078.99,2100.51,83799373
20131115,2100.9,2153.21,2100.79,2135.83,125894520
20131118,2147.37,2198.32,2143.77,2197.22,157502714
20131119,2198.32,2203.3,2186.11,2193.13,125082307
20131120,2201.47,2207.11,2186.64,2206.61,118961861
20131121,2197.01,2206.53,2177.74,2205.77,137245516
20131122,2206.47,2211.07,2188.77,2196.38,113866457
20131125,2186.06,2209.15,2181.42,2186.12,108282655
20131126,2184.33,2192.58,2176.18,2183.07,100460830
20131127,2181.73,2207.62,2176.85,2201.07,115384411
20131128,2204.38,2234.39,2202.62,2219.37,134456777
20131129,2221.62,2224.94,2212.26,2220.5,106959053
20131202,2203.12,2231.92,2172.63,2207.37,174281990
20131203,2196.82,2227.92,2193.25,2222.67,113506410
20131204,2219.97,2260.87,2215.92,2251.76,157292943
