Date,Open,High,Low,Close,Volume
20160808,0.995,1.006,0.988,1.004,153492108
20160809,1.002,1.016,1.002,1.012,45656067
20160810,1.013,1.021,1.008,1.01,29543368
20160811,1.01,1.029,1.009,1.014,37019624
20160812,1.013,1.041,1.009,1.037,36498955
20160815,1.044,1.132,1.04,1.097,108427801
20160816,1.1,1.102,1.084,1.086,62083760
20160817,1.095,1.106,1.072,1.08,40260190
20160818,1.071,1.085,1.062,1.068,45597235
20160819,1.068,1.073,1.06,1.068,36301312
20160822,1.071,1.071,1.044,1.045,34605840
20160823,1.048,1.062,1.044,1.056,24477575
20160824,1.058,1.06,1.045,1.049,19764000
20160825,1.045,1.058,1.038,1.054,24633332
20160826,1.051,1.057,1.046,1.048,17801757
20160829,1.048,1.053,1.042,1.049,12260053
20160830,1.05,1.062,1.047,1.054,23384259
20160831,1.051,1.067,1.05,1.061,27296587
20160901,1.06,1.06,1.044,1.044,25067000
20160902,1.041,1.063,1.039,1.051,23398195
20160905,1.05,1.067,1.05,1.054,38431002
20160906,1.053,1.06,1.04,1.057,25749077
20160907,1.057,1.064,1.053,1.056,21027732
20160908,1.055,1.057,1.05,1.054,14973145
20160909,1.053,1.059,1.048,1.049,28409100
20160912,1.04,1.04,1.011,1.023,42578338
20160913,1.021,1.026,1.015,1.02,14943200
20160914,1.015,1.018,1.009,1.012,13102200
20160919,1.012,1.018,1.012,1.015,10762100
20160920,1.015,1.016,1.01,1.013,23259931
20160921,1.012,1.027,1.012,1.02,38803144
20160922,1.026,1.029,1.02,1.02,15386044
20160923,1.02,1.023,1.015,1.016,14765020
20160926,1.016,1.016,0.996,0.998,20983120
20160927,0.997,1.008,0.996,1.008,19371420
20160928,1.006,1.008,1.002,1.002,6918844
20160929,1.004,1.025,1.004,1.016,15085047
20160930,1.014,1.018,1.012,1.017,12053971
20161010,1.02,1.032,1.019,1.03,21597353
20161011,1.029,1.035,1.027,1.032,14053201
20161012,1.03,1.034,1.025,1.029,15680624
20161013,1.027,1.034,1.026,1.03,13465500
20161014,1.03,1.032,1.021,1.03,15834500
20161017,1.03,1.032,1.013,1.013,14166035
20161018,1.013,1.042,1.013,1.036,27449354
20161019,1.037,1.039,1.03,1.032,14633300
20161020,1.032,1.035,1.028,1.031,14964161
20161021,1.029,1.047,1.028,1.035,21480556
20161024,1.035,1.078,1.035,1.061,47401085
20161025,1.06,1.06,1.05,1.054,10030579
20161026,1.055,1.063,1.049,1.051,14251900
20161027,1.049,1.054,1.047,1.053,19831205
20161028,1.056,1.09,1.056,1.06,24529671
20161031,1.055,1.065,1.042,1.06,16811311
20161101,1.058,1.074,1.058,1.07,27260347
20161102,1.067,1.083,1.063,1.064,18021672
20161103,1.06,1.109,1.06,1.089,81183345
20161104,1.088,1.098,1.08,1.083,16280694
20161107,1.085,1.094,1.084,1.089,8455491
20161108,1.095,1.106,1.089,1.091,14595913
20161109,1.093,1.093,1.067,1.078,23586966
20161110,1.09,1.105,1.087,1.095,30267507
20161111,1.098,1.143,1.095,1.133,56521385
20161114,1.13,1.17,1.124,1.142,69124807
20161115,1.141,1.148,1.127,1.132,16890091
20161116,1.138,1.142,1.126,1.14,27671088
20161117,1.135,1.141,1.124,1.136,28057718
20161118,1.13,1.133,1.114,1.119,29109000
20161121,1.113,1.134,1.112,1.119,31463944
20161122,1.124,1.141,1.124,1.135,22712227
20161123,1.137,1.143,1.122,1.126,16324397
20161124,1.124,1.153,1.123,1.137,35681731
20161125,1.134,1.145,1.117,1.141,55584823
20161128,1.156,1.156,1.135,1.136,26760123
20161129,1.134,1.153,1.122,1.139,40098105
20161130,1.136,1.151,1.126,1.13,21378326
20161201,1.128,1.145,1.128,1.141,19292500
20161202,1.141,1.143,1.116,1.119,23881300
20161205,1.109,1.113,1.08,1.083,25532119
20161206,1.082,1.089,1.079,1.082,16021020
20161207,1.082,1.089,1.079,1.089,14914986
20161208,1.091,1.091,1.077,1.078,14402600
20161209,1.077,1.09,1.075,1.082,16332400
20161212,1.079,1.083,1.045,1.051,24173185
20161213,1.048,1.058,1.044,1.053,14025400
20161214,1.055,1.055,1.04,1.041,11775200
20161215,1.042,1.047,1.032,1.037,15161100
20161216,1.038,1.043,1.034,1.037,11995500
20161219,1.037,1.037,1.027,1.028,10260400
20161220,1.028,1.033,1.023,1.03,12057500
20161221,1.034,1.044,1.033,1.037,11384000
20161222,1.038,1.038,1.029,1.032,10257300
20161223,1.032,1.032,1.02,1.022,11811681
20161226,1.021,1.035,1.011,1.033,12561297
20161227,1.03,1.035,1.025,1.027,4960600
20161228,1.027,1.031,1.022,1.025,8782913
20161229,1.025,1.03,1.022,1.024,11453940
20161230,1.027,1.03,1.02,1.027,11112232
20170103,1.028,1.043,1.028,1.04,8804000
20170104,1.038,1.045,1.036,1.044,9018400
20170105,1.045,1.045,1.039,1.04,9841373
20170106,1.042,1.042,1.028,1.03,9537600
20170109,1.028,1.035,1.027,1.031,9804900
20170110,1.032,1.039,1.03,1.033,9092680
20170111,1.033,1.04,1.03,1.031,9132800
20170112,1.028,1.039,1.027,1.032,10407500
20170113,1.031,1.04,1.024,1.035,9514300
20170116,1.03,1.037,1.011,1.031,17377100
20170117,1.027,1.029,1.016,1.027,7869400
20170118,1.026,1.033,1.023,1.026,13201700
20170119,1.026,1.036,1.023,1.03,8986900
20170120,1.03,1.04,1.028,1.039,12042800
20170123,1.037,1.047,1.035,1.038,6428000
20170124,1.04,1.04,1.033,1.033,5293600
20170125,1.033,1.036,1.03,1.035,3500400
20170126,1.037,1.042,1.036,1.041,3897400
20170203,1.041,1.042,1.03,1.031,3059300
20170206,1.032,1.035,1.029,1.031,8289300
20170207,1.031,1.032,1.023,1.026,8296200
20170208,1.027,1.048,1.02,1.045,22290600
